node1,node2,combined_score
SPOCK1,THBS2,0.482
STON2,SYT13,0.555
STON2,SYT9,0.769
SYN2,SYT13,0.652
SYN2,SYT9,0.657
SYNGR3,SYT13,0.402
SYNGR3,SYT9,0.429
TAC1,VIPR2,0.419
TAT,TPO,0.902
TBX21,TLR1,0.402
TBX21,TNFSF13B,0.445
TBX21,TIGIT,0.619
TFF1,TFF3,0.944
TIGIT,VTCN1,0.451
TLR1,TNFSF13B,0.459
TNFSF13B,TNFSF14,0.761
TNFSF14,VTCN1,0.435
